t	x	y
0.000000E0	8.857977E-2	1.160700E-1
1.666667E-2	9.468872E-2	1.191245E-1
3.333333E-2	9.468872E-2	1.191245E-1
5.000000E-2	9.468872E-2	1.252335E-1
6.666667E-2	9.468872E-2	1.374514E-1
8.333333E-2	9.468872E-2	1.374514E-1
1.000000E-1	9.774319E-2	1.557782E-1
1.166667E-1	1.007977E-1	1.802140E-1
1.333333E-1	9.774319E-2	2.046498E-1
1.500000E-1	9.774319E-2	2.168677E-1
1.666667E-1	9.774319E-2	2.413035E-1
1.833333E-1	1.007977E-1	2.749027E-1
2.000000E-1	1.007977E-1	3.023930E-1
2.166667E-1	1.007977E-1	3.512646E-1
2.333333E-1	9.774319E-2	3.909728E-1
2.500000E-1	1.007977E-1	4.367899E-1
2.666667E-1	1.038521E-1	4.856615E-1
2.833333E-1	1.007977E-1	5.345331E-1
3.000000E-1	1.069066E-1	5.711868E-1
3.166667E-1	1.069066E-1	6.231128E-1
3.333333E-1	1.038521E-1	6.567121E-1
3.500000E-1	1.069066E-1	7.055837E-1
3.666667E-1	1.069066E-1	7.208560E-1
3.833333E-1	1.099611E-1	7.483463E-1
4.000000E-1	1.130156E-1	7.575097E-1
4.166667E-1	1.130156E-1	7.788911E-1
4.333333E-1	1.130156E-1	7.850000E-1
4.500000E-1	1.130156E-1	7.972179E-1
4.666667E-1	1.130156E-1	8.033268E-1
4.833333E-1	1.130156E-1	8.094358E-1
5.000000E-1	1.130156E-1	8.155447E-1
5.166667E-1	1.130156E-1	8.155447E-1
5.333333E-1	1.160700E-1	8.124903E-1
5.500000E-1	1.130156E-1	8.094358E-1
5.666667E-1	1.130156E-1	7.941634E-1
5.833333E-1	1.130156E-1	7.880545E-1
6.000000E-1	1.130156E-1	7.788911E-1
6.166667E-1	1.130156E-1	7.575097E-1
6.333333E-1	1.130156E-1	7.391829E-1
6.500000E-1	1.130156E-1	7.269650E-1
6.666667E-1	1.069066E-1	6.933658E-1
6.833333E-1	1.069066E-1	6.628210E-1
7.000000E-1	1.069066E-1	6.322763E-1
7.166667E-1	1.069066E-1	5.986770E-1
7.333333E-1	1.069066E-1	5.375875E-1
7.500000E-1	1.069066E-1	5.039883E-1
7.666667E-1	1.099611E-1	4.612257E-1
7.833333E-1	1.069066E-1	4.092996E-1
8.000000E-1	1.038521E-1	3.757004E-1
8.166667E-1	1.038521E-1	3.298833E-1
8.333333E-1	1.069066E-1	2.901751E-1
8.500000E-1	1.038521E-1	2.657393E-1
8.666667E-1	1.038521E-1	2.351946E-1
8.833333E-1	1.007977E-1	2.229767E-1
9.000000E-1	1.007977E-1	2.046498E-1
9.166667E-1	1.007977E-1	1.985409E-1
9.333333E-1	1.007977E-1	1.893774E-1
9.500000E-1	1.007977E-1	1.832685E-1
9.666667E-1	1.007977E-1	1.771595E-1
9.833333E-1	1.007977E-1	1.771595E-1
1.000000E0	1.007977E-1	1.771595E-1
1.016667E0	1.007977E-1	1.771595E-1
1.033333E0	1.007977E-1	1.771595E-1
1.050000E0	1.007977E-1	1.771595E-1
1.066667E0	1.007977E-1	1.771595E-1
1.083333E0	1.007977E-1	1.771595E-1
1.100000E0	1.007977E-1	1.771595E-1
