time	ax	ay	az	atotal
0	0.21	0.16	-0.01	0.26
0.01	0.17	-0.03	0.01	0.18
0.02	0.2	-0.12	0	0.23
0.026	0.19	-0.12	0	0.22
0.04	0.18	-0.15	-0.03	0.24
0.05	0.18	-0.12	0.02	0.22
0.059	0.18	-0.12	0.02	0.22
0.067	0.17	-0.08	0	0.19
0.076	0.14	-0.08	0.01	0.17
0.09	0.16	-0.03	-0.04	0.17
0.1	0.14	-0.04	-0.05	0.16
0.109	0.14	-0.04	-0.05	0.16
0.12	0.18	-0.11	0.04	0.21
0.126	0.18	-0.11	0.04	0.21
0.14	0.12	0.02	0.05	0.13
0.15	0.12	0.01	0.04	0.13
0.159	0.12	0.01	0.04	0.13
0.171	0.15	-0.03	-0.03	0.16
0.176	0.16	-0.03	-0.03	0.16
0.191	0.18	-0.03	-0.02	0.19
0.201	0.18	0	-0.02	0.18
0.209	0.18	0	-0.02	0.18
0.221	0.12	-0.05	0	0.13
0.226	0.12	-0.05	0	0.13
0.241	0.05	0	-0.01	0.05
0.251	0.11	-0.04	-0.03	0.12
0.259	0.1	-0.04	-0.03	0.11
0.271	0.15	-0.07	0.04	0.17
0.276	0.15	-0.07	0.04	0.17
0.285	0.18	-0.09	0	0.2
0.296	0.18	-0.07	0.05	0.2
0.306	0.16	-0.07	0.05	0.19
0.316	0.11	-0.08	0.04	0.14
0.326	0.09	-0.07	-0.01	0.12
0.336	0.11	-0.08	0.01	0.14
0.346	0.15	-0.06	-0.04	0.16
0.356	0.14	-0.01	0.02	0.14
0.366	0.18	0	0.02	0.18
0.376	0.17	0	0.02	0.17
0.386	0.16	-0.06	-0.01	0.17
0.396	0.14	-0.05	-0.02	0.15
0.406	0.1	-0.06	-0.04	0.12
0.416	0.08	-0.07	-0.04	0.11
0.426	0.12	-0.11	-0.02	0.16
0.437	0.13	-0.11	0	0.17
0.446	0.16	-0.07	-0.01	0.17
0.456	0.19	-0.07	-0.02	0.2
0.466	0.18	-0.06	-0.05	0.2
0.476	0.18	-0.04	-0.03	0.19
0.487	0.18	-0.04	0.03	0.19
0.497	0.18	-0.09	-0.01	0.2
0.507	0.18	-0.12	-0.04	0.22
0.517	0.15	-0.14	-0.04	0.21
0.527	0.19	-0.11	-0.01	0.22
0.537	0.14	-0.07	-0.03	0.16
0.547	0.12	0.01	-0.01	0.12
0.557	0.18	0.02	0	0.18
0.567	0.16	-0.03	-0.04	0.17
0.577	0.2	-0.02	-0.05	0.2
0.587	0.19	0.03	-0.02	0.2
0.597	0.22	0.03	-0.03	0.22
0.607	0.24	-0.02	-0.03	0.24
0.617	0.2	-0.07	-0.07	0.22
0.628	0.21	-0.06	-0.07	0.23
0.638	0.23	-0.07	-0.08	0.25
0.648	0.1	-0.1	-0.1	0.18
0.658	0.05	-0.01	0.02	0.06
0.667	0.19	0.13	0.06	0.23
0.678	0.18	0.19	0.05	0.27
0.688	0.26	0.19	0.01	0.33
0.698	0.31	0.2	-0.03	0.37
0.708	0.3	0.22	-0.02	0.37
0.718	0.25	0.22	-0.07	0.34
0.728	0.22	0.24	-0.01	0.33
0.738	0.18	0.18	0.11	0.27
0.748	0.03	0.07	0.11	0.14
0.758	-0.01	-0.04	0	0.04
0.768	-0.08	-0.12	-0.05	0.16
0.779	-0.11	-0.1	0	0.15
0.789	-0.17	-0.13	0.03	0.21
0.799	-0.26	-0.22	-0.03	0.34
0.809	-0.36	-0.33	0	0.49
0.819	-0.4	-0.39	0.03	0.56
0.829	-0.41	-0.45	0.05	0.61
0.839	-0.38	-0.44	0	0.58
0.849	-0.33	-0.35	0.06	0.49
0.859	-0.26	-0.28	0.08	0.39
0.869	-0.28	-0.29	0.1	0.41
0.879	-0.36	-0.3	0.1	0.48
0.889	-0.32	-0.23	0.14	0.42
0.899	-0.29	-0.17	0.24	0.41
0.91	-0.2	-0.08	0.19	0.29
0.919	-0.06	-0.08	0.13	0.16
0.929	0.03	-0.04	0.13	0.14
0.94	0.08	0.03	0.1	0.13
0.95	0.11	0.12	0.11	0.2
0.959	0.16	0.19	0.1	0.26
0.97	0.26	0.19	0.07	0.33
0.98	0.35	0.08	0.1	0.38
0.99	0.31	-0.01	0.08	0.32
1	0.24	0	0.07	0.25
1.009	0.17	0.04	0.12	0.21
1.02	0.14	0	0.04	0.15
1.03	0.13	-0.14	-0.02	0.19
1.04	0.1	-0.25	-0.09	0.29
1.05	0.12	-0.32	-0.03	0.34
1.059	0.23	-0.24	0.04	0.33
1.07	0.3	-0.03	0.08	0.31
1.081	0.34	-0.02	0.03	0.34
1.091	0.3	-0.15	-0.05	0.33
1.101	0.35	-0.12	0.08	0.38
1.109	0.42	0	0.08	0.43
1.121	0.38	0.05	0.05	0.39
1.131	0.37	-0.04	0.05	0.38
1.141	0.33	-0.03	-0.01	0.33
1.151	0.18	0.04	-0.08	0.2
