t	x	y
1.666667E-2	-7.537981E-2	-5.002784E-1
3.333333E-2	-7.564183E-2	-5.002077E-1
5.000000E-2	-7.603603E-2	-5.000016E-1
6.666667E-2	-7.734960E-2	-4.997089E-1
8.333333E-2	-7.958983E-2	-4.992934E-1
1.000000E-1	-8.359357E-2	-4.988236E-1
1.166667E-1	-8.908485E-2	-4.981535E-1
1.333333E-1	-9.681150E-2	-4.969947E-1
1.500000E-1	-1.064397E-1	-4.948691E-1
1.666667E-1	-1.194366E-1	-4.914805E-1
1.833333E-1	-1.343519E-1	-4.866841E-1
2.000000E-1	-1.510521E-1	-4.804525E-1
2.166667E-1	-1.699983E-1	-4.701850E-1
2.333333E-1	-1.904411E-1	-4.615775E-1
2.500000E-1	-2.184155E-1	-4.454385E-1
2.666667E-1	-2.453139E-1	-4.292994E-1
2.833333E-1	-2.679086E-1	-4.120844E-1
3.000000E-1	-2.948071E-1	-3.905656E-1
3.166667E-1	-3.184777E-1	-3.690468E-1
3.333333E-1	-3.421484E-1	-3.421484E-1
3.500000E-1	-3.647431E-1	-3.174018E-1
3.666667E-1	-3.851859E-1	-2.861996E-1
3.833333E-1	-4.067047E-1	-2.571493E-1
4.000000E-1	-4.217678E-1	-2.291749E-1
4.166667E-1	-4.336031E-1	-1.979726E-1
4.333333E-1	-4.454385E-1	-1.667704E-1
4.500000E-1	-4.551219E-1	-1.387960E-1
4.666667E-1	-4.626535E-1	-1.108216E-1
4.833333E-1	-4.648053E-1	-8.499913E-2
5.000000E-1	-4.669572E-1	-6.132848E-2
5.166667E-1	-4.712610E-1	-3.980972E-2
5.333333E-1	-4.691091E-1	-2.259470E-2
5.500000E-1	-4.712610E-1	-8.607506E-3
5.666667E-1	-4.723369E-1	4.303753E-3
5.833333E-1	-4.701850E-1	1.613907E-2
6.000000E-1	-4.701850E-1	2.474658E-2
6.166667E-1	-4.701850E-1	3.227815E-2
6.333333E-1	-4.691091E-1	3.550596E-2
6.500000E-1	-4.691091E-1	3.980972E-2
6.666667E-1	-4.691091E-1	4.411347E-2
6.833333E-1	-4.669572E-1	4.626535E-2
7.000000E-1	-4.691091E-1	4.626535E-2
7.166667E-1	-4.691091E-1	4.626535E-2
7.333333E-1	-4.691091E-1	4.949316E-2
7.500000E-1	-4.691091E-1	4.949316E-2
7.666667E-1	-4.691091E-1	4.949316E-2
7.833333E-1	-4.669572E-1	4.841722E-2
8.000000E-1	-4.712610E-1	4.841722E-2
8.166667E-1	-4.669572E-1	5.056910E-2
8.333333E-1	-4.962312E-1	3.332256E-2
8.500000E-1	-4.680332E-1	4.626535E-2
8.666667E-1	-4.953784E-1	4.923503E-2
8.833333E-1	-4.953753E-1	4.779954E-2
9.000000E-1	-4.680332E-1	4.411347E-2
