t	x	y
0.000000E0	-3.050515E2	-3.383299E2
1.666667E-2	-3.050635E2	-3.382674E2
3.333333E-2	-3.052748E2	-3.379426E2
5.000000E-2	-3.048984E2	-3.368214E2
6.666667E-2	-3.058336E2	-3.355338E2
8.333333E-2	-3.159570E2	-3.453282E2
1.000000E-1	-3.221279E2	-3.480636E2
1.166667E-1	-3.272525E2	-3.480789E2
1.333333E-1	-3.330618E2	-3.472367E2
1.500000E-1	-3.380203E2	-3.493285E2
1.666667E-1	-3.372202E2	-3.373352E2
1.833333E-1	-3.548819E2	-3.383870E2
2.000000E-1	-3.787350E2	-3.366713E2
2.166667E-1	-3.968838E2	-3.320379E2
2.333333E-1	-4.120676E2	-3.294010E2
2.500000E-1	-4.323561E2	-3.206488E2
2.666667E-1	-4.607402E2	-3.165283E2
2.833333E-1	-4.862242E2	-3.064982E2
3.000000E-1	-5.120301E2	-2.965309E2
3.166667E-1	-5.388615E2	-2.831772E2
3.333333E-1	-5.647026E2	-2.688492E2
3.500000E-1	-5.759721E2	-2.462097E2
3.666667E-1	-6.186054E2	-2.336042E2
3.833333E-1	-6.460543E2	-2.131198E2
4.000000E-1	-6.734109E2	-1.894523E2
4.166667E-1	-7.019707E2	-1.649178E2
4.333333E-1	-7.265983E2	-1.372956E2
4.500000E-1	-7.337740E2	-1.023077E2
4.666667E-1	-7.718333E2	-7.635313E1
4.833333E-1	-7.655092E2	-3.907246E1
5.000000E-1	-7.879323E2	-9.344482E0
5.166667E-1	-8.267544E2	1.968836E1
5.333333E-1	-8.628958E2	5.037472E1
5.500000E-1	-8.834231E2	8.343530E1
5.666667E-1	-8.836903E2	1.140395E2
5.833333E-1	-8.977200E2	1.450192E2
6.000000E-1	-8.748647E2	1.724791E2
6.166667E-1	-8.796509E2	1.995879E2
6.333333E-1	-8.853461E2	2.246840E2
6.500000E-1	-8.904709E2	2.477247E2
6.666667E-1	-8.943431E2	2.686832E2
6.833333E-1	-8.967908E2	2.876772E2
7.000000E-1	-9.003098E2	3.047988E2
7.166667E-1	-9.024871E2	3.199861E2
7.333333E-1	-9.027102E2	3.338344E2
7.500000E-1	-9.031565E2	3.459199E2
7.666667E-1	-9.015246E2	3.565391E2
7.833333E-1	-9.024789E2	3.648287E2
8.000000E-1	-9.013728E2	3.725478E2
8.166667E-1	-9.013735E2	3.785985E2
8.333333E-1	-9.026312E2	3.826950E2
8.500000E-1	-9.017661E2	3.863431E2
8.666667E-1	-9.025155E2	3.886891E2
8.833333E-1	-9.033742E2	3.899267E2
9.000000E-1	-9.034372E2	3.907938E2
9.166667E-1	-9.035035E2	3.908078E2
9.333333E-1	-9.033357E2	3.906885E2
9.500000E-1	-9.030383E2	3.905545E2
9.666667E-1	-9.039946E2	3.896700E2
9.833333E-1	-9.046560E2	3.887009E2
