x	t	y
-3.623157E2	3.333333E-2	-3.189619E2
-3.726217E2	5.000000E-2	-3.286368E2
-3.638667E2	6.666667E-2	-3.183899E2
-3.679968E2	8.333333E-2	-3.202560E2
-3.681566E2	1.000000E-1	-3.171134E2
-3.719607E2	1.166667E-1	-3.172929E2
-3.800083E2	1.333333E-1	-3.212512E2
-3.749112E2	1.500000E-1	-3.113706E2
-3.780587E2	1.666667E-1	-3.092439E2
-3.977512E2	1.833333E-1	-3.214338E2
-3.944115E2	2.000000E-1	-3.098865E2
-4.016662E2	2.166667E-1	-3.094482E2
-4.120431E2	2.333333E-1	-3.098825E2
-4.193500E2	2.500000E-1	-3.070822E2
-4.268976E2	2.666667E-1	-3.049313E2
-4.221106E2	2.833333E-1	-2.914911E2
-4.342199E2	3.000000E-1	-2.918359E2
-4.537152E2	3.166667E-1	-2.957118E2
-4.626813E2	3.333333E-1	-2.927843E2
-4.737260E2	3.500000E-1	-2.921475E2
-4.844889E2	3.666667E-1	-2.885500E2
-4.951901E2	3.833333E-1	-2.853058E2
-5.005419E2	4.000000E-1	-2.856373E2
-5.027703E2	4.166667E-1	-2.767829E2
-5.342956E2	4.333333E-1	-2.775580E2
-5.397640E2	4.500000E-1	-2.740765E2
-5.414982E2	4.666667E-1	-2.619862E2
-5.705019E2	4.833333E-1	-2.611359E2
-5.824970E2	5.000000E-1	-2.540761E2
-5.975013E2	5.166667E-1	-2.458623E2
-6.126880E2	5.333333E-1	-2.362100E2
-6.255130E2	5.500000E-1	-2.271559E2
-6.401560E2	5.666667E-1	-2.172419E2
-6.542329E2	5.833333E-1	-2.072532E2
-6.668149E2	6.000000E-1	-1.969476E2
-6.803401E2	6.166667E-1	-1.861210E2
-6.928578E2	6.333333E-1	-1.751314E2
-7.052254E2	6.500000E-1	-1.641311E2
-7.178741E2	6.666667E-1	-1.525068E2
-7.287956E2	6.833333E-1	-1.412848E2
-7.395716E2	7.000000E-1	-1.300488E2
-7.496727E2	7.166667E-1	-1.189738E2
-7.597677E2	7.333333E-1	-1.080439E2
-7.691751E2	7.500000E-1	-9.726689E1
-7.782006E2	7.666667E-1	-8.636112E1
-7.868011E2	7.833333E-1	-7.531576E1
-7.946935E2	8.000000E-1	-6.502309E1
-8.029581E2	8.166667E-1	-5.429113E1
-8.108295E2	8.333333E-1	-4.340420E1
-8.184888E2	8.500000E-1	-3.203188E1
-8.259832E2	8.666667E-1	-2.162575E1
-8.329187E2	8.833333E-1	-1.043730E1
-8.399041E2	9.000000E-1	8.418137E-1
-8.467229E2	9.166667E-1	1.180905E1
-8.535508E2	9.333333E-1	2.303309E1
-8.600427E2	9.500000E-1	3.363221E1
-8.660025E2	9.666667E-1	4.474586E1
-8.726898E2	9.833333E-1	5.648900E1
-8.786946E2	1.000000E0	6.742959E1
-8.843976E2	1.016667E0	7.839303E1
-8.897354E2	1.033333E0	8.991881E1
-8.948260E2	1.050000E0	1.008561E2
-8.997945E2	1.066667E0	1.121672E2
-9.049317E2	1.083333E0	1.234406E2
-9.095156E2	1.100000E0	1.351394E2
-9.139081E2	1.116667E0	1.460053E2
-9.180983E2	1.133333E0	1.569351E2
-9.220200E2	1.150000E0	1.677591E2
-9.257787E2	1.166667E0	1.788614E2
-9.292629E2	1.183333E0	1.886412E2
-9.325090E2	1.200000E0	1.990143E2
-9.353675E2	1.216667E0	2.084639E2
-9.374920E2	1.233333E0	2.180916E2
-9.399431E2	1.250000E0	2.270948E2
-9.422324E2	1.266667E0	2.359957E2
-9.444764E2	1.283333E0	2.450517E2
-9.468192E2	1.300000E0	2.533977E2
-9.488149E2	1.316667E0	2.617182E2
-9.506514E2	1.333333E0	2.698934E2
-9.519209E2	1.350000E0	2.778779E2
-9.539128E2	1.366667E0	2.858791E2
-9.555976E2	1.383333E0	2.939869E2
-9.569735E2	1.400000E0	3.018348E2
-9.585647E2	1.416667E0	3.099491E2
-9.601501E2	1.433333E0	3.173818E2
-9.610536E2	1.450000E0	3.249572E2
-9.619342E2	1.466667E0	3.319497E2
-9.628813E2	1.483333E0	3.387670E2
-9.639206E2	1.500000E0	3.455246E2
-9.647504E2	1.516667E0	3.518113E2
-9.654130E2	1.533333E0	3.573218E2
-9.659293E2	1.550000E0	3.627282E2
-9.661804E2	1.566667E0	3.668930E2
-9.669473E2	1.583333E0	3.712637E2
-9.671953E2	1.600000E0	3.750475E2
-9.677880E2	1.616667E0	3.787024E2
-9.681869E2	1.633333E0	3.815112E2
-9.686801E2	1.650000E0	3.845703E2
-9.691473E2	1.666667E0	3.872461E2
-9.694973E2	1.683333E0	3.898338E2
-9.698315E2	1.700000E0	3.918192E2
-9.702435E2	1.716667E0	3.938535E2
-9.701657E2	1.733333E0	3.958499E2
-9.704289E2	1.750000E0	3.973243E2
-9.705349E2	1.766667E0	3.990866E2
-9.709403E2	1.783333E0	4.004172E2
-9.710508E2	1.800000E0	4.017158E2
-9.712361E2	1.816667E0	4.029312E2
-9.713382E2	1.833333E0	4.038262E2
-9.713243E2	1.850000E0	4.048166E2
-9.715221E2	1.866667E0	4.055669E2
-9.716581E2	1.883333E0	4.062382E2
-9.717063E2	1.900000E0	4.067163E2
-9.718053E2	1.916667E0	4.067845E2
-9.717911E2	1.933333E0	4.067994E2
-9.718935E2	1.950000E0	4.064479E2
