t	x	y
0.000000E0	-2.255533E2	3.845498E2
1.666667E-2	-2.257884E2	3.842886E2
3.333333E-2	-2.258376E2	3.842972E2
5.000000E-2	-2.258558E2	3.842865E2
6.666667E-2	-2.258467E2	3.842844E2
8.333333E-2	-2.259369E2	3.841717E2
1.000000E-1	-2.259305E2	3.841207E2
1.166667E-1	-2.254330E2	3.838025E2
1.333333E-1	-2.255654E2	3.832696E2
1.500000E-1	-2.253291E2	3.831206E2
1.666667E-1	-2.247568E2	3.826228E2
1.833333E-1	-2.245778E2	3.825061E2
2.000000E-1	-2.239504E2	3.822718E2
2.166667E-1	-2.233893E2	3.828490E2
2.333333E-1	-2.228665E2	3.829331E2
2.500000E-1	-2.223285E2	3.833305E2
2.666667E-1	-2.217759E2	3.841185E2
2.833333E-1	-2.209272E2	3.846424E2
3.000000E-1	-2.199911E2	3.852533E2
3.166667E-1	-2.192088E2	3.862119E2
3.333333E-1	-2.182851E2	3.872306E2
3.500000E-1	-2.173668E2	3.884419E2
3.666667E-1	-2.163216E2	3.900797E2
3.833333E-1	-2.155774E2	3.915636E2
4.000000E-1	-2.145161E2	3.931801E2
4.166667E-1	-2.139213E2	3.948388E2
4.333333E-1	-2.128678E2	3.964524E2
4.500000E-1	-2.118453E2	3.982016E2
4.666667E-1	-2.120580E2	3.992834E2
4.833333E-1	-2.117698E2	4.015652E2
5.000000E-1	-2.109193E2	4.035936E2
5.166667E-1	-2.104230E2	4.054789E2
5.333333E-1	-2.086044E2	4.081536E2
5.500000E-1	-2.076045E2	4.102513E2
5.666667E-1	-2.068683E2	4.123653E2
5.833333E-1	-2.056996E2	4.143691E2
6.000000E-1	-2.044407E2	4.162401E2
6.166667E-1	-2.023667E2	4.181409E2
6.333333E-1	-2.021295E2	4.193442E2
6.500000E-1	-2.000507E2	4.212564E2
6.666667E-1	-1.993951E2	4.223094E2
6.833333E-1	-1.966950E2	4.241626E2
7.000000E-1	-1.954796E2	4.251572E2
7.166667E-1	-1.942751E2	4.261512E2
7.333333E-1	-1.929186E2	4.271573E2
7.500000E-1	-1.928197E2	4.274510E2
7.666667E-1	-1.911001E2	4.281328E2
7.833333E-1	-1.909605E2	4.284974E2
8.000000E-1	-1.894461E2	4.291200E2
8.166667E-1	-1.893994E2	4.292121E2
8.333333E-1	-1.892320E2	4.293130E2
8.500000E-1	-1.887866E2	4.294722E2
8.666667E-1	-1.882799E2	4.294133E2
8.833333E-1	-1.878756E2	4.296010E2
9.000000E-1	-1.875906E2	4.296005E2
9.166667E-1	-1.871962E2	4.295235E2
9.333333E-1	-1.870695E2	4.293748E2
9.500000E-1	-1.869877E2	4.295932E2
9.666667E-1	-1.869216E2	4.295519E2
9.833333E-1	-1.868306E2	4.294692E2
