t	x	y
0.000000E0	-2.251226E2	3.810899E2
1.666667E-2	-2.251570E2	3.812115E2
3.333333E-2	-2.251966E2	3.812524E2
5.000000E-2	-2.252137E2	3.813303E2
6.666667E-2	-2.252532E2	3.813901E2
8.333333E-2	-2.252645E2	3.814768E2
1.000000E-1	-2.243367E2	3.819009E2
1.166667E-1	-2.242327E2	3.820484E2
1.333333E-1	-2.241740E2	3.820483E2
1.500000E-1	-2.241748E2	3.822458E2
1.666667E-1	-2.240356E2	3.821742E2
1.833333E-1	-2.238941E2	3.820885E2
2.000000E-1	-2.237066E2	3.820776E2
2.166667E-1	-2.234815E2	3.824474E2
2.333333E-1	-2.231046E2	3.823346E2
2.500000E-1	-2.228550E2	3.821525E2
2.666667E-1	-2.226678E2	3.820926E2
2.833333E-1	-2.225342E2	3.825271E2
3.000000E-1	-2.221049E2	3.823937E2
3.166667E-1	-2.211040E2	3.827933E2
3.333333E-1	-2.209105E2	3.829605E2
3.500000E-1	-2.207837E2	3.829721E2
3.666667E-1	-2.206622E2	3.830312E2
3.833333E-1	-2.204776E2	3.834669E2
4.000000E-1	-2.201257E2	3.833659E2
4.166667E-1	-2.192077E2	3.838341E2
4.333333E-1	-2.189566E2	3.839906E2
4.500000E-1	-2.187507E2	3.840382E2
4.666667E-1	-2.189026E2	3.842942E2
4.833333E-1	-2.178025E2	3.847543E2
5.000000E-1	-2.179559E2	3.851920E2
5.166667E-1	-2.171674E2	3.859953E2
5.333333E-1	-2.163053E2	3.869452E2
5.500000E-1	-2.167854E2	3.872164E2
5.666667E-1	-2.150365E2	3.887453E2
5.833333E-1	-2.153902E2	3.893783E2
6.000000E-1	-2.146476E2	3.900605E2
6.166667E-1	-2.141693E2	3.911663E2
6.333333E-1	-2.135527E2	3.923024E2
6.500000E-1	-2.126903E2	3.930023E2
6.666667E-1	-2.120415E2	3.941542E2
6.833333E-1	-2.113187E2	3.952092E2
7.000000E-1	-2.106663E2	3.960275E2
7.166667E-1	-2.100479E2	3.970802E2
7.333333E-1	-2.090290E2	3.978972E2
7.500000E-1	-2.082986E2	3.990072E2
7.666667E-1	-2.074522E2	4.000995E2
7.833333E-1	-2.064356E2	4.010664E2
8.000000E-1	-2.057414E2	4.017610E2
8.166667E-1	-2.050895E2	4.027099E2
8.333333E-1	-2.050906E2	4.034835E2
8.500000E-1	-2.043324E2	4.043189E2
8.666667E-1	-2.037080E2	4.049983E2
8.833333E-1	-2.029563E2	4.057931E2
9.000000E-1	-2.030002E2	4.064889E2
9.166667E-1	-2.022667E2	4.070413E2
9.333333E-1	-2.015925E2	4.078665E2
9.500000E-1	-2.014787E2	4.085355E2
9.666667E-1	-2.008915E2	4.090964E2
9.833333E-1	-2.004786E2	4.098051E2
1.000000E0	-2.004783E2	4.104518E2
1.016667E0	-1.997518E2	4.110324E2
1.033333E0	-1.994216E2	4.119685E2
1.050000E0	-1.990428E2	4.128318E2
1.066667E0	-1.982444E2	4.136465E2
1.083333E0	-1.982498E2	4.144026E2
1.100000E0	-1.977027E2	4.149014E2
1.116667E0	-1.971209E2	4.158567E2
1.133333E0	-1.961592E2	4.167923E2
1.150000E0	-1.959256E2	4.174737E2
1.166667E0	-1.951037E2	4.180967E2
1.183333E0	-1.942363E2	4.188761E2
1.200000E0	-1.939613E2	4.194990E2
1.216667E0	-1.932573E2	4.202364E2
1.233333E0	-1.924957E2	4.209484E2
1.250000E0	-1.921782E2	4.214923E2
1.266667E0	-1.916830E2	4.220046E2
1.283333E0	-1.914367E2	4.225384E2
1.300000E0	-1.908176E2	4.229429E2
1.316667E0	-1.905486E2	4.234609E2
1.333333E0	-1.897567E2	4.237002E2
1.350000E0	-1.895229E2	4.242642E2
1.366667E0	-1.888408E2	4.246178E2
1.383333E0	-1.887626E2	4.251491E2
1.400000E0	-1.885797E2	4.255893E2
1.416667E0	-1.879396E2	4.258857E2
1.433333E0	-1.876768E2	4.264419E2
1.450000E0	-1.873684E2	4.269135E2
1.466667E0	-1.871008E2	4.272733E2
1.483333E0	-1.866147E2	4.278844E2
1.500000E0	-1.863465E2	4.281565E2
1.516667E0	-1.858253E2	4.283016E2
1.533333E0	-1.854014E2	4.287049E2
1.550000E0	-1.852491E2	4.290282E2
1.566667E0	-1.849001E2	4.292118E2
1.583333E0	-1.846967E2	4.293724E2
1.600000E0	-1.842531E2	4.296857E2
1.616667E0	-1.842006E2	4.299122E2
1.633333E0	-1.838583E2	4.300327E2
1.650000E0	-1.837506E2	4.301758E2
1.666667E0	-1.835840E2	4.304334E2
1.683333E0	-1.834183E2	4.304437E2
1.700000E0	-1.831761E2	4.303820E2
1.716667E0	-1.831110E2	4.303767E2
1.733333E0	-1.829880E2	4.303532E2
1.750000E0	-1.830114E2	4.303709E2
1.766667E0	-1.829195E2	4.303617E2
1.783333E0	-1.829478E2	4.303647E2
1.800000E0	-1.829873E2	4.303925E2
1.816667E0	-1.829820E2	4.303712E2
1.833333E0	-1.828351E2	4.303526E2
1.850000E0	-1.828400E2	4.303322E2
1.866667E0	-1.827892E2	4.303220E2
1.883333E0	-1.828327E2	4.303093E2
1.900000E0	-1.827803E2	4.303082E2
1.916667E0	-1.828009E2	4.302892E2
1.933333E0	-1.828084E2	4.302747E2
1.950000E0	-1.828154E2	4.302635E2
