t	x	y
1.166667E-1	-1.181336E-1	-4.848261E-1
1.333333E-1	-1.207019E-1	-4.839774E-1
1.500000E-1	-1.237024E-1	-4.828712E-1
1.666667E-1	-1.270328E-1	-4.814352E-1
1.833333E-1	-1.306375E-1	-4.800185E-1
2.000000E-1	-1.351236E-1	-4.783467E-1
2.166667E-1	-1.396964E-1	-4.767228E-1
2.333333E-1	-1.447021E-1	-4.746274E-1
2.500000E-1	-1.499860E-1	-4.724176E-1
2.666667E-1	-1.553267E-1	-4.702765E-1
2.833333E-1	-1.608104E-1	-4.680259E-1
3.000000E-1	-1.660705E-1	-4.657353E-1
3.166667E-1	-1.712405E-1	-4.633859E-1
3.333333E-1	-1.768383E-1	-4.607176E-1
3.500000E-1	-1.821047E-1	-4.583393E-1
3.666667E-1	-1.877878E-1	-4.556738E-1
3.833333E-1	-1.934777E-1	-4.528402E-1
4.000000E-1	-1.984661E-1	-4.505112E-1
4.166667E-1	-2.041353E-1	-4.478034E-1
4.333333E-1	-2.098275E-1	-4.449441E-1
4.500000E-1	-2.156176E-1	-4.420284E-1
4.666667E-1	-2.211824E-1	-4.388440E-1
4.833333E-1	-2.266489E-1	-4.359335E-1
5.000000E-1	-2.323446E-1	-4.325622E-1
5.166667E-1	-2.374819E-1	-4.295060E-1
5.333333E-1	-2.428578E-1	-4.258663E-1
5.500000E-1	-2.483934E-1	-4.225613E-1
5.666667E-1	-2.538879E-1	-4.186999E-1
5.833333E-1	-2.591866E-1	-4.152039E-1
6.000000E-1	-2.644799E-1	-4.116269E-1
6.166667E-1	-2.696455E-1	-4.079353E-1
6.333333E-1	-2.744961E-1	-4.040529E-1
6.500000E-1	-2.798593E-1	-3.996328E-1
6.666667E-1	-2.850770E-1	-3.955063E-1
6.833333E-1	-2.895995E-1	-3.917027E-1
7.000000E-1	-2.944799E-1	-3.875094E-1
7.166667E-1	-2.987920E-1	-3.834878E-1
7.333333E-1	-3.034796E-1	-3.795309E-1
7.500000E-1	-3.079035E-1	-3.752401E-1
7.666667E-1	-3.121507E-1	-3.708893E-1
7.833333E-1	-3.166018E-1	-3.666774E-1
8.000000E-1	-3.209103E-1	-3.622784E-1
8.166667E-1	-3.252602E-1	-3.578397E-1
8.333333E-1	-3.293756E-1	-3.531406E-1
8.500000E-1	-3.339413E-1	-3.485005E-1
8.666667E-1	-3.380544E-1	-3.439096E-1
8.833333E-1	-3.420821E-1	-3.395657E-1
9.000000E-1	-3.462151E-1	-3.345536E-1
9.166667E-1	-3.503108E-1	-3.293333E-1
9.333333E-1	-3.542640E-1	-3.245020E-1
9.500000E-1	-3.581072E-1	-3.194720E-1
9.666667E-1	-3.617185E-1	-3.143828E-1
9.833333E-1	-3.653918E-1	-3.091902E-1
1.000000E0	-3.688876E-1	-3.039007E-1
1.016667E0	-3.725920E-1	-2.985103E-1
1.033333E0	-3.759537E-1	-2.928638E-1
1.050000E0	-3.793252E-1	-2.873153E-1
1.066667E0	-3.826000E-1	-2.819877E-1
1.083333E0	-3.859791E-1	-2.766104E-1
1.100000E0	-3.895827E-1	-2.706542E-1
1.116667E0	-3.928608E-1	-2.650559E-1
1.133333E0	-3.962437E-1	-2.590142E-1
1.150000E0	-3.997440E-1	-2.526101E-1
1.166667E0	-4.029970E-1	-2.463063E-1
1.183333E0	-4.061942E-1	-2.393016E-1
1.200000E0	-4.094064E-1	-2.328118E-1
1.216667E0	-4.128285E-1	-2.257118E-1
1.233333E0	-4.155223E-1	-2.191218E-1
1.250000E0	-4.185565E-1	-2.117277E-1
1.266667E0	-4.214635E-1	-2.044299E-1
1.283333E0	-4.242069E-1	-1.974709E-1
1.300000E0	-4.268519E-1	-1.904159E-1
1.316667E0	-4.293338E-1	-1.833602E-1
1.333333E0	-4.317731E-1	-1.766343E-1
1.350000E0	-4.339478E-1	-1.697636E-1
1.366667E0	-4.361368E-1	-1.632369E-1
1.383333E0	-4.382299E-1	-1.567296E-1
1.400000E0	-4.400545E-1	-1.507015E-1
1.416667E0	-4.418846E-1	-1.442553E-1
1.433333E0	-4.433317E-1	-1.381908E-1
1.450000E0	-4.449894E-1	-1.321421E-1
1.466667E0	-4.462642E-1	-1.261831E-1
1.483333E0	-4.477424E-1	-1.203467E-1
1.500000E0	-4.491511E-1	-1.144267E-1
1.516667E0	-4.505576E-1	-1.085562E-1
1.533333E0	-4.517883E-1	-1.029430E-1
1.550000E0	-4.529406E-1	-9.694891E-2
1.566667E0	-4.540163E-1	-9.082495E-2
1.583333E0	-4.551143E-1	-8.502117E-2
1.600000E0	-4.560478E-1	-7.915456E-2
1.616667E0	-4.567707E-1	-7.308282E-2
1.633333E0	-4.575003E-1	-6.729928E-2
1.650000E0	-4.581597E-1	-6.157316E-2
1.666667E0	-4.588421E-1	-5.608156E-2
1.683333E0	-4.595331E-1	-5.087729E-2
1.700000E0	-4.600714E-1	-4.566924E-2
1.716667E0	-4.604772E-1	-4.082912E-2
1.733333E0	-4.608393E-1	-3.611270E-2
1.750000E0	-4.612215E-1	-3.165800E-2
1.766667E0	-4.614499E-1	-2.754618E-2
1.783333E0	-4.618959E-1	-2.365813E-2
1.800000E0	-4.620965E-1	-2.006262E-2
1.816667E0	-4.624630E-1	-1.677688E-2
1.833333E0	-4.625326E-1	-1.361369E-2
1.850000E0	-4.626831E-1	-1.072332E-2
1.866667E0	-4.628274E-1	-8.281624E-3
1.883333E0	-4.629525E-1	-5.853764E-3
1.900000E0	-4.631333E-1	-3.524467E-3
1.916667E0	-4.632202E-1	-1.387626E-3
1.933333E0	-4.634588E-1	6.962051E-4
1.950000E0	-4.635813E-1	3.007041E-3
1.966667E0	-4.635958E-1	5.011727E-3
1.983333E0	-4.636253E-1	7.228007E-3
2.000000E0	-4.637946E-1	9.065939E-3
2.016667E0	-4.637868E-1	1.086139E-2
2.033333E0	-4.637817E-1	1.233941E-2
2.050000E0	-4.638347E-1	1.400247E-2
2.066667E0	-4.638332E-1	1.550571E-2
2.083333E0	-4.638082E-1	1.683468E-2
2.100000E0	-4.637232E-1	1.791057E-2
2.116667E0	-4.637182E-1	1.888852E-2
2.133333E0	-4.637334E-1	1.963375E-2
2.150000E0	-4.639150E-1	2.002337E-2
2.166667E0	-4.638664E-1	2.033335E-2
